Movie,Year removed,Manually formatted,With quotes and comma
The Shawshank Redemption (1994),The Shawshank Redemption,The Shawshank Redemption,"""The Shawshank Redemption"","
The Godfather (1972),The Godfather,The Godfather,"""The Godfather"","
The Godfather: Part II (1974),The Godfather: Part II,The Godfather: Part 2,"""The Godfather: Part 2"","
The Dark Knight (2008),The Dark Knight,The Dark Knight,"""The Dark Knight"","
Pulp Fiction (1994),Pulp Fiction,Pulp Fiction,"""Pulp Fiction"","
"The Good, the Bad and the Ugly (1966)","The Good, the Bad and the Ugly","The Good, the Bad and the Ugly","""The Good, the Bad and the Ugly"","
Schindler's List (1993),Schindler's List,Schindler's List,"""Schindler's List"","
12 Angry Men (1957),12 Angry Men,12 Angry Men,"""12 Angry Men"","
The Lord of the Rings: The Return of the King (2003),The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,"""The Lord of the Rings: The Return of the King"","
Fight Club (1999),Fight Club,Fight Club,"""Fight Club"","
The Lord of the Rings: The Fellowship of the Ring (2001),The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,"""The Lord of the Rings: The Fellowship of the Ring"","
Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,"""Star Wars: Episode V - The Empire Strikes Back"","
Inception (2010),Inception,Inception,"""Inception"","
Forrest Gump (1994),Forrest Gump,Forrest Gump,"""Forrest Gump"","
One Flew Over the Cuckoo's Nest (1975),One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,"""One Flew Over the Cuckoo's Nest"","
The Lord of the Rings: The Two Towers (2002),The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,"""The Lord of the Rings: The Two Towers"","
Goodfellas (1990),Goodfellas,Goodfellas,"""Goodfellas"","
The Matrix (1999),The Matrix,The Matrix,"""The Matrix"","
Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope,"""Star Wars: Episode IV - A New Hope"","
Seven Samurai (1954),Seven Samurai,Seven Samurai,"""Seven Samurai"","
City of God (2002),City of God,City of God,"""City of God"","
Se7en (1995),Se7en,Se7en,"""Se7en"","
The Usual Suspects (1995),The Usual Suspects,The Usual Suspects,"""The Usual Suspects"","
The Silence of the Lambs (1991),The Silence of the Lambs,The Silence of the Lambs,"""The Silence of the Lambs"","
It's a Wonderful Life (1946),It's a Wonderful Life,It's a Wonderful Life,"""It's a Wonderful Life"","
Once Upon a Time in the West (1968),Once Upon a Time in the West,Once Upon a Time in the West,"""Once Upon a Time in the West"","
Léon: The Professional (1994),Léon: The Professional,Leon: The Professional,"""Leon: The Professional"","
Life Is Beautiful (1997),Life Is Beautiful,Life Is Beautiful,"""Life Is Beautiful"","
Casablanca (1942),Casablanca,Casablanca,"""Casablanca"","
The Raiders of the Lost Ark (1981),The Raiders of the Lost Ark,The Raiders of the Lost Ark,"""The Raiders of the Lost Ark"","
American History X (1998),American History X,American History X,"""American History X"","
Psycho (1960),Psycho,Psycho,"""Psycho"","
Rear Window (1954),Rear Window,Rear Window,"""Rear Window"","
Saving Private Ryan (1998),Saving Private Ryan,Saving Private Ryan,"""Saving Private Ryan"","
City Lights (1931),City Lights,City Lights,"""City Lights"","
Spirited Away (2001),Spirited Away,Spirited Away,"""Spirited Away"","
The Intouchables (2011),The Intouchables,The Intouchables,"""The Intouchables"","
Modern Times (1936),Modern Times,Modern Times,"""Modern Times"","
Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day,Terminator 2: Judgment Day,"""Terminator 2: Judgment Day"","
Memento (2000),Memento,Memento,"""Memento"","
The Pianist (2002),The Pianist,The Pianist,"""The Pianist"","
Sunset Blvd. (1950),Sunset Blvd.,Sunset Boulevard,"""Sunset Boulevard"","
The Green Mile (1999),The Green Mile,The Green Mile,"""The Green Mile"","
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove,"""Dr. Strangelove"","
Apocalypse Now (1979),Apocalypse Now,Apocalypse Now,"""Apocalypse Now"","
The Departed (2006),The Departed,The Departed,"""The Departed"","
Gladiator (2000),Gladiator,Gladiator,"""Gladiator"","
Boyhood (2014),Boyhood,Boyhood,"""Boyhood"","
Back to the Future (1985),Back to the Future,Back to the Future,"""Back to the Future"","
Alien (1979),Alien,Alien,"""Alien"","
The Dark Knight Rises (2012),The Dark Knight Rises,The Dark Knight Rises,"""The Dark Knight Rises"","
The Prestige (2006),The Prestige,The Prestige,"""The Prestige"","
The Lives of Others (2006),The Lives of Others,The Lives of Others,"""The Lives of Others"","
Django Unchained (2012),Django Unchained,Django Unchained,"""Django Unchained"","
The Great Dictator (1940),The Great Dictator,The Great Dictator,"""The Great Dictator"","
The Lion King (1994),The Lion King,The Lion King,"""The Lion King"","
The Shining (1980),The Shining,The Shining,"""The Shining"","
Cinema Paradiso (1988),Cinema Paradiso,Cinema Paradiso,"""Cinema Paradiso"","
American Beauty (1999),American Beauty,American Beauty,"""American Beauty"","
Paths of Glory (1957),Paths of Glory,Paths of Glory,"""Paths of Glory"","
Guardians of the Galaxy (2014),Guardians of the Galaxy,Guardians of the Galaxy,"""Guardians of the Galaxy"","
WALL·E (2008),WALL·E,WALL·E,"""WALL·E"","
North by Northwest (1959),North by Northwest,North by Northwest,"""North by Northwest"","
Aliens (1986),Aliens,Aliens,"""Aliens"","
Amélie (2001),Amélie,Amelie,"""Amelie"","
Citizen Kane (1941),Citizen Kane,Citizen Kane,"""Citizen Kane"","
Vertigo (1958),Vertigo,Vertigo,"""Vertigo"","
Toy Story 3 (2010),Toy Story 3,Toy Story 3,"""Toy Story 3"","
M (1931),M,M,"""M"","
Das Boot (1981),Das Boot,Das Boot,"""Das Boot"","
Oldboy (2003),Oldboy,Oldboy,"""Oldboy"","
Princess Mononoke (1997),Princess Mononoke,Princess Mononoke,"""Princess Mononoke"","
A Clockwork Orange (1971),A Clockwork Orange,A Clockwork Orange,"""A Clockwork Orange"","
Taxi Driver (1976),Taxi Driver,Taxi Driver,"""Taxi Driver"","
Star Wars: Episode VI - The Return of the Jedi (1983),Star Wars: Episode VI - The Return of the Jedi,Star Wars: Episode VI - The Return of the Jedi,"""Star Wars: Episode VI - The Return of the Jedi"","
Grave of the Fireflies (1988),Grave of the Fireflies,Grave of the Fireflies,"""Grave of the Fireflies"","
Reservoir Dogs (1992),Reservoir Dogs,Reservoir Dogs,"""Reservoir Dogs"","
Double Indemnity (1944),Double Indemnity,Double Indemnity,"""Double Indemnity"","
Once Upon a Time in America (1984),Once Upon a Time in America,Once Upon a Time in America,"""Once Upon a Time in America"","
Requiem for a Dream (2000),Requiem for a Dream,Requiem for a Dream,"""Requiem for a Dream"","
Braveheart (1995),Braveheart,Braveheart,"""Braveheart"","
To Kill a Mockingbird (1962),To Kill a Mockingbird,To Kill a Mockingbird,"""To Kill a Mockingbird"","
Lawrence of Arabia (1962),Lawrence of Arabia,Lawrence of Arabia,"""Lawrence of Arabia"","
Eternal Sunshine of the Spotless Mind (2004),Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,"""Eternal Sunshine of the Spotless Mind"","
Witness for the Prosecution (1957),Witness for the Prosecution,Witness for the Prosecution,"""Witness for the Prosecution"","
Full Metal Jacket (1987),Full Metal Jacket,Full Metal Jacket,"""Full Metal Jacket"","
Singin' in the Rain (1952),Singin' in the Rain,Singin' in the Rain,"""Singin' in the Rain"","
The Sting (1973),The Sting,The Sting,"""The Sting"","
Bicycle Thieves (1948),Bicycle Thieves,Bicycle Thieves,"""Bicycle Thieves"","
